Species,lw_a,lw_b,lw_level,lw_type,trophic_level,trophic_level_se,trophic_level_type,trophic_level_ref,
Atherinops affinis,0.04,2.5,species,TL,2.76,0.28,from individual food items,"Fitch, J.E. and R.J. Lavenberg, 1975. Tidepool and nearshore fishes of California. California Natural History Guides:38. University of California Press, Berkelley and Los Angeles, California. 156 p.",
Clevelandia ios,0.00871,3.06,model based on LWR estimates for this (Sub)family-body shape,TL,3.12,0.42,from individual food items,"Hart, J.L., 1973. Pacific fishes of Canada. Bull. Fish. Res. Board Can. 180:740 p.",
Cymatogaster aggregata,0.0195,3.02,model based on LWR estimates for this (Sub)family-body shape,TL,2.99,0.31,from individual food items,"Morrow, J.E., 1980. The freshwater fishes of Alaska. University of. B.C. Animal Resources Ecology Library. 248p.",
Embiotoca jacksoni,0.02818,3.04,model based on LWR estimates for this (Sub)family-body shape,TL,3.31,0.38,from individual food items,"Ebeling, A.W. and D.R. Laur, 1986. Foraging in surfperches: resource partitioning or individualistic responses?. Environ. Biol. Fish. 16(1-3):123-133.",
Micrometrus minimus,0.0195,3.02,model based on LWR estimates for this (Sub)family-body shape,TL,2.78,0.26,from individual food items,,"Eschmeyer, W.N., E.S. Herald and H. Hammann, 1983. A field guide to Pacific coast fishes of North America. Boston (MA, USA): Houghton Mifflin Company. xii+336 p"
Phanerodon furcatus,0.01318,3.05,model based on LWR estimates for this (Sub)family-body shape,TL,3.3,0.5,Based on size and trophs of closest relatives,,
Sebastes,0.01849,3,average of all species,TL,3.769,0.31,Average of diet trophic level of all species,,
Syngnathus leptorhynchus,0.00032,3.09,model based on LWR estimates for this (Sub)family-body shape,TL,3.24,0.4,from individual food items,"Hart, J.L., 1973. Pacific fishes of Canada. Bull. Fish. Res. Board Can. 180:740 p.0-660-10459-8 (pbk.).",
Leptocottus armatus,0.01047,3.14,model based on LWR estimates for this (Sub)family-body shape,TL,3.68,0.64,from individual food items,"Tasto, R.N., 1975. Aspects of the biology of Pacific staghorn sculpin, Leptocottus armatus Girard, in Anaheim Bay. p. 123-135. In D.E. Lane and C.W. Hill (eds.) The Marine Resources of Anaheim Bay. Fish. Bull. 165.",
Artedius lateralis,0.00708,3.13,model based on LWR estimates for this (Sub)family-body shape,TL,3.7,0.4,Troph of juv./adults from 1 study,"Boyle, K.S. and M.H. Horn, 2006. Comparison of feeding guild structure and ecomorphology of intertidal fish assemblages from central California and central Chile. Mar. Ecol. Prog. Ser. 319:65-84.",
Scorpaenichthys marmoratus,0.02914,3,species,TL,3.62,0.47,from individual food items,"Hart, J.L., 1973. Pacific fishes of Canada. Bull. Fish. Res. Board Can. 180:740 p. 0-660-10459-8 (pbk.).",
Hypsoblennius gentilis,0.0112,2.979,species,TL,2.71,0.24,from individual food items,,
Heterostichus rostratus,0.00513,3.07,model based on LWR estimates for this (Sub)family-body shape,TL,3.89,0.62,from individual food items,"Eschmeyer, W.N., E.S. Herald and H. Hammann, 1983. A field guide to Pacific coast fishes of North America. Boston (MA, USA): Houghton Mifflin Company. xii+336 p.",
Citharichthys stigmaeus,0.00708,3.15,model based on LWR estimates for this (Sub)family-body shape,TL,3.3,0.45,from individual food items,"Pearcy, W.G. and D. Hancock, 1978. Feeding habits of dover sole, Microstomus pacificus; rex sole, Glyptocephalus zachirus; slender sole, Lyopsetta exilis; and pacific sanddab, Citharichthys sordidus, in a region of diverse sediments and bathymetry off Oregon. Fish. Bull. 76(3):641-651.",
Myliobatis californica,0.00389,3.09,model based on LWR estimates for this (Sub)family-body shape,TL,3.24,0.07,Troph of juv./adults from 6 studies,,
Embiotoca lateralis,0.0195,3.02,model based on LWR estimates for this (Sub)family-body shape,TL,3.33,0.49,from individual food items,"Ebeling, A.W. and D.R. Laur, 1986. Foraging in surfperches: resource partitioning or individualistic responses?. Environ. Biol. Fish. 16(1-3):123-133.",
Gibbonsia metzi,0.00513,3.07,model based on LWR estimates for this (Sub)family-body shape,TL,3.06,0.26,from individual food items,"Boyle, K.S. and M.H. Horn, 2006. Comparison of feeding guild structure and ecomorphology of intertidal fish assemblages from central California and central Chile. Mar. Ecol. Prog. Ser. 319:65-84.",
Sebastes serranoides,0.00912,3.04,model based on LWR estimates for this (Sub)family-body shape,TL,3.68,0.45,from individual food items,"Love, M.S. and A.W. Ebeling, 1978. Food and habitat of three switch-feeding fishes in the kelp forests off Santa Barbara, California. Fish. Bull. 76(1):257-271.",
Gasterosteus aculeatus,0.01023,3.07,model based on LWR estimates for this (Sub)family-body shape,TL,3.3,0.2,Troph of adults from two studies,,
Parophrys vetulus,0.01429,2.9036,model based on LWR estimates for this species and (Sub)family-body shape,TL,3.39,0.46,,,
