Season,Year,Date,CollectorNames,TrawlType,Site,Replicate,Common_Name,Genus,Species,Length_mm,weight_g,trophic_level
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,1,California Killifish,Fundulus,parvipinnis,69.53,4.377917936,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,1,Pacific Staghorn Sculpin,Leptocottus,armatus,109.62,19.28415647,3.68
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,1,Bay Pipefish,Syngnathus,leptorhynchus,45.72,0.035065352,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,1,Bay Pipefish,Syngnathus,leptorhynchus,64.37,0.100921111,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,2,Arrow Goby,Clevelandia,ios,27.87,0.200510574,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,2,Arrow Goby,Clevelandia,ios,31.43,0.289662291,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,2,Arrow Goby,Clevelandia,ios,35.58,0.423358558,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,2,Arrow Goby,Clevelandia,ios,35.36,0.415399203,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,2,Arrow Goby,Clevelandia,ios,36.67,0.464311606,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,2,Arrow Goby,Clevelandia,ios,51.06,1.278631605,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,2,Arrow Goby,Clevelandia,ios,55.19,1.622224518,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,2,Pacific Staghorn Sculpin,Leptocottus,armatus,38.93,0.747204897,3.68
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,2,Pacific Staghorn Sculpin,Leptocottus,armatus,45.32,1.204195421,3.68
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,3,Arrow Goby,Clevelandia,ios,30.39,0.261320871,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,3,Arrow Goby,Clevelandia,ios,28.83,0.222404085,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,3,Arrow Goby,Clevelandia,ios,35.48,0.419728061,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,3,Arrow Goby,Clevelandia,ios,51.15,1.285540631,3.12
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,3,California Killifish,Fundulus,parvipinnis,47.71,1.331708366,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 1,3,Shadow Goby,Quietula,y-cauda,40.25,0.472102413,3.2
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,California Killifish,Fundulus,parvipinnis,52.04,1.752383686,3.3
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,57.95,0.07294325,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,58.54,0.075262541,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,59.25,0.078119057,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,59.68,0.079884223,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,64.23,0.100244408,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,65.27,0.10534527,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,65.61,0.107050178,3.24000001
Fall,2006,11/11/2006,Stephens,Beam,Beam 2,1,Bay Pipefish,Syngnathus,leptorhynchus,73.64,0.152943688,3.24000001
