Period,Year,Season,Date,TrawlType,Site,Replicate,time_start,time_end,lat_start,long_start,lat_end,long_end,trawl_length_min,depth_m,depth_start_m,depth_end_m,depth_min_m,depth_max_m,tow_direction,boat_speed_knts_avg,collectors
Pre-Decline,2006,Fall,11/11/2006,Beam,Beam 1,1,2006-11-11 09:37:00 PDT,2006-11-11 09:47:00 PDT,35.34745,-120.8490333,,,10,1,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Beam,Beam 1,2,2006-11-11 09:51:00 PDT,2006-11-11 10:01:00 PDT,35.34628333,-120.8518667,,,10,1,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Beam,Beam 1,3,2006-11-11 10:06:00 PDT,2006-11-11 10:16:00 PDT,35.34778333,-120.8628333,,,10,1,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Beam,Beam 2,1,,,,,,,,,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Beam,Beam 2,2,,,,,,,,,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Beam,Beam 2,3,,,,,,,,,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Beam,Beam 4,1,,,,,,,,,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Beam,Beam 4,2,,,,,,,,,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Beam,Beam 4,3,,,,,,,,,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Otter,Otter 1,1,2006-11-11 08:17:00 PDT,2006-11-11 08:27:00 PDT,35.35416667,-120.8459,,,10,5,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Otter,Otter 1,2,2006-11-11 08:34:00 PDT,2006-11-11 08:44:00 PDT,35.34901667,-120.84645,,,10,5,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Otter,Otter 1,3,2006-11-11 09:17:00 PDT,2006-11-11 09:27:00 PDT,35.3495,-120.8459667,,,10,5,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Otter,Otter 2,1,,,,,,,,,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Otter,Otter 2,2,,,,,,,,,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Otter,Otter 2,3,,,,,,,,,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Otter,Otter 3,1,,,,,,,,,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Otter,Otter 3,2,,,,,,,,,,,,,,,Stephens
Pre-Decline,2006,Fall,11/11/2006,Otter,Otter 3,3,,,,,,,,,,,,,,,Stephens
Pre-Decline,2006,Spring,4/22/2006,Beam,Beam 1,3,,,,,,,,,,,,,,,Stephens
Pre-Decline,2006,Spring,4/22/2006,Beam,Beam 2,1,2006-04-22 08:43:00 PDT,2006-04-22 08:53:00 PDT,35.33788333,-120.8475833,35.3384,-120.84975,10,0.8,,,,,,,Stephens
Pre-Decline,2006,Spring,4/22/2006,Beam,Beam 2,2,2006-04-22 09:10:00 PDT,2006-04-22 09:20:00 PDT,35.33861667,-120.8483167,35.338,-120.8516667,10,0.6,,,,,,,Stephens
Pre-Decline,2006,Spring,4/22/2006,Beam,Beam 2,3,2006-04-22 09:26:00 PDT,2006-04-22 09:36:00 PDT,35.33898333,-120.8494667,35.34145,-120.8481333,10,0.6,,,,,,,Stephens
Pre-Decline,2006,Spring,4/22/2006,Beam,Beam 4,1,2006-04-22 07:46:00 PDT,2006-04-22 07:56:00 PDT,35.32556667,-120.864,35.3236,-120.8483167,10,1.2,,,,,,,Stephens
Pre-Decline,2006,Spring,4/22/2006,Beam,Beam 4,2,2006-04-22 08:01:00 PDT,2006-04-22 08:11:00 PDT,35.32323333,-120.8483667,35.32291667,-120.8643333,10,0.9,,,,,,,Stephens
Pre-Decline,2006,Spring,4/22/2006,Beam,Beam 4,3,2006-04-22 08:16:00 PDT,2006-04-22 08:26:00 PDT,35.32408333,-120.8518333,35.32701667,-120.8527667,10,0.8,,,,,,,Stephens
Pre-Decline,2006,Spring,4/23/2006,Beam,Beam 1,1,2006-04-23 07:48:00 PDT,2006-04-23 07:58:00 PDT,35.34531667,-120.8522667,35.34698333,-120.8537333,10,2,,,,,,,Stephens
Pre-Decline,2006,Spring,4/23/2006,Beam,Beam 1,2,2006-04-23 08:06:00 PDT,2006-04-23 08:16:00 PDT,35.34766667,-120.8532833,35.34735,-120.8529,10,2,,,,,,,Stephens
Pre-Decline,2006,Spring,4/23/2006,Otter,Otter 1,1,2006-04-23 09:10:00 PDT,2006-04-23 09:18:00 PDT,35.35201667,35.36033333,-120.84645,-120.8458,8,7,,,,,,,Stephens
Pre-Decline,2006,Spring,4/23/2006,Otter,Otter 1,2,2006-04-23 09:30:00 PDT,2006-04-23 09:40:00 PDT,35.34993333,35.34758333,-120.8451,-120.8449333,10,4,,,,,,,Stephens
Pre-Decline,2006,Spring,4/23/2006,Otter,Otter 1,3,2006-04-23 09:57:00 PDT,2006-04-23 10:07:00 PDT,35.34878333,35.34681667,-120.8447833,-120.8453833,10,2,,,,,,,Stephens
